"106年08月01日 外資及陸資買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2316  ","楠梓電          ","120,000","43,000","77,000",
" ","2359  ","所羅門          ","79,000","2,000","77,000",
" ","2421  ","建準            ","272,000","195,000","77,000",
" ","1519  ","華城            ","79,000","3,000","76,000",
" ","2855  ","統一證          ","89,000","13,000","76,000",
" ","2606  ","裕民            ","144,000","69,000","75,000",
" ","2376  ","技嘉            ","308,000","237,000","71,000",
" ","3703  ","欣陸            ","84,000","14,000","70,000",
" ","2015  ","豐興            ","98,000","30,000","68,000",
" ","2332  ","友訊            ","178,000","110,000","68,000",
" ","2727  ","王品            ","122,000","55,000","67,000",
" ","1806  ","冠軍            ","94,000","29,000","65,000",
" ","2514  ","龍邦            ","71,000","6,000","65,000",
" ","2207  ","和泰車          ","101,000","38,000","63,000",
" ","8131  ","福懋科          ","104,000","41,000","63,000",
" ","1506  ","正道            ","66,000","4,000","62,000",
" ","2106  ","建大            ","80,000","19,000","61,000",
" ","3044  ","健鼎            ","300,000","239,000","61,000",
" ","6504  ","南六            ","125,000","66,272","58,728",
" ","3049  ","和鑫            ","95,000","37,000","58,000",
" ","9933  ","中鼎            ","414,000","358,000","56,000",
" ","3229  ","晟鈦            ","62,000","7,000","55,000",
" ","4108  ","懷特            ","57,000","3,000","54,000",
" ","4746  ","台耀            ","60,000","6,000","54,000",
" ","4927  ","泰鼎-KY         ","63,000","9,000","54,000",
" ","3094  ","聯傑            ","81,000","28,000","53,000",
" ","1537  ","廣隆            ","73,000","21,000","52,000",
" ","6005  ","群益證          ","131,000","79,000","52,000",
" ","1313  ","聯成            ","221,000","170,000","51,000",
" ","2426  ","鼎元            ","68,000","17,000","51,000",
" ","2739  ","寒舍            ","52,000","1,000","51,000",
" ","6452  ","康友-KY         ","61,000","10,000","51,000",
" ","6409  ","旭隼            ","68,406","18,000","50,406",
" ",="059396","台積電元大6A購05","50,000","0","50,000",
" ","5608  ","四維航          ","93,000","43,000","50,000",
" ","2362  ","藍天            ","70,000","21,000","49,000",
" ","2856  ","元富證          ","228,000","179,000","49,000",
" ","2390  ","云辰            ","48,000","0","48,000",
" ","8454  ","富邦媒          ","58,000","10,000","48,000",
" ","2305  ","全友            ","47,000","0","47,000",
" ","2415  ","錩新            ","61,000","14,000","47,000",
" ","3661  ","世芯-KY         ","115,000","68,000","47,000",
" ","5907  ","大洋-KY         ","54,000","7,000","47,000",
" ","3686  ","達能            ","49,000","3,000","46,000",
" ","1507  ","永大            ","143,000","98,000","45,000",
" ","2069  ","運錩            ","47,000","2,000","45,000",
" ","2472  ","立隆電          ","52,000","9,000","43,000",
" ","3026  ","禾伸堂          ","70,000","27,000","43,000",
" ","9924  ","福興            ","70,000","27,000","43,000",
" ","5434  ","崇越            ","61,000","19,000","42,000",
" ","5871  ","中租-KY         ","1,560,584","1,519,000","41,584",
" ","3031  ","佰鴻            ","41,000","0","41,000",
" ",="03383P","臺股指統一71售04","40,000","0","40,000",
" ","1711  ","永光            ","90,000","50,000","40,000",
" ","2431  ","聯昌            ","40,000","0","40,000",
" ","1338  ","廣華-KY         ","42,000","4,000","38,000",
" ","1589  ","永冠-KY         ","82,000","44,000","38,000",
" ","3059  ","華晶科          ","94,000","56,000","38,000",
" ","6136  ","富爾特          ","48,000","10,000","38,000",
" ","2417  ","圓剛            ","49,000","12,000","37,000",
" ","2489  ","瑞軒            ","291,000","254,000","37,000",
" ","6278  ","台表科          ","74,000","37,000","37,000",
" ","2462  ","良得電          ","48,000","12,000","36,000",
" ","6120  ","達運            ","188,000","152,000","36,000",
" ","2707  ","晶華            ","89,000","53,023","35,977",
" ","1726  ","永記            ","35,000","0","35,000",
" ","2351  ","順德            ","103,000","69,000","34,000",
" ","2634  ","漢翔            ","56,000","22,000","34,000",
" ","1721  ","三晃            ","38,000","5,000","33,000",
" ","2478  ","大毅            ","34,000","1,000","33,000",
" ","1604  ","聲寶            ","71,000","39,000","32,000",
" ","6451  ","訊芯-KY         ","86,000","54,000","32,000",
" ","2425  ","承啟            ","121,000","90,000","31,000",
" ","2612  ","中航            ","38,000","7,000","31,000",
" ",="061098","彩晶凱基6C購01  ","100,000","70,000","30,000",
" ","1416  ","廣豐            ","49,000","19,000","30,000",
" ","1464  ","得力            ","93,000","63,000","30,000",
" ","1720  ","生達            ","36,000","6,000","30,000",
" ","2020  ","美亞            ","30,000","0","30,000",
" ","2461  ","光群雷          ","33,000","3,000","30,000",
" ","3149  ","正達            ","75,000","45,000","30,000",
" ","2375  ","智寶            ","29,000","0","29,000",
" ","2488  ","漢平            ","58,000","29,000","29,000",
" ","4919  ","新唐            ","229,000","200,000","29,000",
" ","6605  ","帝寶            ","30,000","1,000","29,000",
" ","1810  ","和成            ","28,000","0","28,000",
" ","2486  ","一詮            ","28,000","0","28,000",
" ","3011  ","今皓            ","30,000","2,000","28,000",
" ","4956  ","光鋐            ","54,000","26,000","28,000",
" ","2731  ","雄獅            ","43,000","16,000","27,000",
" ","3028  ","增你強          ","27,000","0","27,000",
" ","1730  ","花仙子          ","110,000","84,000","26,000",
" ","1808  ","潤隆            ","56,000","30,000","26,000",
" ",="059301","友達元大6B購03  ","25,000","0","25,000",
" ","1451  ","年興            ","25,000","0","25,000",
" ","3010  ","華立            ","29,000","4,000","25,000",
" ","3704  ","合勤控          ","30,000","5,000","25,000",
" ","5234  ","達興材料        ","26,000","1,000","25,000",
" ","6155  ","鈞寶            ","25,000","0","25,000",
" ",="01003T","兆豐新光R1      ","34,000","10,000","24,000",
" ","3055  ","蔚華科          ","23,000","0","23,000",
" ","4934  ","太極            ","111,000","88,000","23,000",
" ","6177  ","達麗            ","30,000","7,000","23,000",
" ","8105  ","凌巨            ","115,000","92,000","23,000",
" ","9940  ","信義            ","31,000","8,000","23,000",
" ","1701  ","中化            ","38,000","16,000","22,000",
" ","3048  ","益登            ","22,000","0","22,000",
" ","3419  ","譁裕            ","26,000","4,000","22,000",
" ","6449  ","鈺邦            ","27,000","5,000","22,000",
" ","8480  ","泰昇-KY         ","22,000","0","22,000",
" ","9914  ","美利達          ","187,000","165,000","22,000",
" ","1316  ","上曜            ","23,000","2,000","21,000",
"*","2059  ","川湖            ","87,000","66,000","21,000",
" ","2401  ","凌陽            ","215,000","194,000","21,000",
" ","2832  ","台產            ","24,000","3,000","21,000",
" ","3450  ","聯鈞            ","76,000","55,000","21,000",
" ","3705  ","永信            ","32,000","11,000","21,000",
" ","9919  ","康那香          ","21,000","0","21,000",
" ",="061129","滬深2X元富71購01","20,000","0","20,000",
" ",="062128","聯發科統一71購05","20,000","0","20,000",
" ","1525  ","江申            ","28,000","8,000","20,000",
" ","2358  ","廷鑫            ","22,000","2,000","20,000",
" ","4912  ","聯德控股-KY     ","23,000","3,000","20,000",
" ","8411  ","福貞-KY         ","20,000","0","20,000",
" ","1103  ","嘉泥            ","27,000","8,000","19,000",
" ","1231  ","聯華食          ","27,000","8,000","19,000",
" ","1733  ","五鼎            ","30,000","11,000","19,000",
" ","2206  ","三陽工業        ","183,000","164,000","19,000",
" ","2528  ","皇普            ","25,000","6,000","19,000",
" ","3030  ","德律            ","98,000","79,000","19,000",
" ","3090  ","日電貿          ","26,000","7,000","19,000",
