"106年07月19日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="056479","群創統一6A購02  ","0","0","0","877,000","170,000","707,000","877,000","170,000","707,000",
="057954","元油2X元大69購03","0","0","0","703,000","0","703,000","703,000","0","703,000",
="058566","元大金兆豐6B購01","0","0","0","711,000","10,000","701,000","711,000","10,000","701,000",
="059537","矽力元大6B購01  ","0","0","0","784,000","83,000","701,000","784,000","83,000","701,000",
="060181","群創群益6B購03  ","0","0","0","715,000","15,000","700,000","715,000","15,000","700,000",
="059951","康友永豐6B購01  ","0","0","0","748,000","50,000","698,000","748,000","50,000","698,000",
="062243","聯鈞元大6C購02  ","0","0","0","989,000","292,000","697,000","989,000","292,000","697,000",
="058553","晶豪科元大71購01","0","0","0","724,000","29,000","695,000","724,000","29,000","695,000",
="059545","啟碁元大6A購02  ","0","0","0","805,000","113,000","692,000","805,000","113,000","692,000",
="056302","樺漢統一6B購01  ","0","0","0","1,000,000","309,000","691,000","1,000,000","309,000","691,000",
="059210","樺漢凱基6A購02  ","0","0","0","1,826,000","1,136,000","690,000","1,826,000","1,136,000","690,000",
="062869","南亞元大71購01  ","0","0","0","780,000","90,000","690,000","780,000","90,000","690,000",
="059726","光寶科凱基6B購01","0","0","0","750,000","65,000","685,000","750,000","65,000","685,000",
="062473","矽力國泰71購01  ","0","0","0","844,000","159,000","685,000","844,000","159,000","685,000",
="062093","群創群益6C購02  ","0","0","0","1,355,000","671,000","684,000","1,355,000","671,000","684,000",
="04157P","東聯群益73售04  ","0","0","0","840,000","157,000","683,000","840,000","157,000","683,000",
="061315","創意永豐6C購01  ","0","0","0","1,363,000","682,000","681,000","1,363,000","682,000","681,000",
="056473","友達統一69購02  ","0","0","0","1,200,000","520,000","680,000","1,200,000","520,000","680,000",
="059433","晶豪科國泰6C購01","0","0","0","770,000","90,000","680,000","770,000","90,000","680,000",
="060881","全新永豐6B購02  ","0","0","0","700,000","21,000","679,000","700,000","21,000","679,000",
="03077P","台積電群益6B售08","0","0","0","677,000","0","677,000","677,000","0","677,000",
="057005","聯鈞元大69購01  ","0","0","0","1,139,000","463,000","676,000","1,139,000","463,000","676,000",
="059381","群創永昌6C購01  ","0","0","0","677,000","1,000","676,000","677,000","1,000","676,000",
="058224","兆豐金凱基69購01","0","0","0","1,207,000","532,000","675,000","1,207,000","532,000","675,000",
="063258","群創兆豐71購04  ","0","0","0","724,000","49,000","675,000","724,000","49,000","675,000",
